,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,histoire,history
1,3,3,police,police
2,4,5,aide,help
3,5,6,demande,request
4,6,7,genre,kind
5,7,8,mois,month
6,8,10,laisser,let
7,9,11,car,because
8,10,12,mettre,to put
9,11,14,laisse,leash
10,12,16,chaque,each
11,13,17,parlé,speak
12,14,18,arrivé,come
13,15,19,devrait,should
14,16,22,heures,hours
15,17,23,vont,will
16,19,25,revoir,meet again
17,20,26,aucune,any
18,21,27,place,square
19,22,28,parle,speak
20,23,29,compris,understood
21,24,31,étaient,were
22,25,32,attention,Warning
23,26,33,voici,here is
24,27,34,pourrais,could
25,28,35,affaire,case
26,29,36,donner,give
27,30,37,type,type
28,31,38,leurs,their
29,32,39,donné,given
30,33,40,train,train
31,34,42,endroit,place
32,35,43,yeux,eyes
33,36,44,façon,way
34,37,46,dont,whose
35,38,47,trouve,find
36,39,48,premier,first
37,40,50,main,hand
38,41,51,première,first
39,42,52,côté,side
40,43,53,pouvoir,power
41,44,54,vieux,old
42,45,55,sois,be
43,46,58,tellement,so much
44,47,59,enfant,child
45,48,60,point,point
46,49,61,venu,came
47,50,62,suite,after
48,51,63,pardon,sorry
49,52,65,devant,in front of
50,53,66,vers,towards
51,54,67,minutes,minutes
52,55,68,demandé,request
53,56,70,mis,placed
54,57,71,belle,beautiful
55,58,72,droit,law
56,59,73,aimerais,would like to
57,61,75,mari,husband
58,62,76,cause,cause
59,63,79,eau,water
60,64,80,attendez,Wait
61,65,82,arrêter,Stop
62,66,84,terre,Earth
63,67,86,donne,given
64,68,87,loin,far
65,69,88,fin,end
66,70,89,croire,believe
67,71,90,chérie,sweetheart
68,72,93,aura,will have
69,73,95,jouer,to play
70,74,96,bureau,office
